date,pm25,pm10,o3,no2,so2,co
5/5/2022,2,1,7,1,2,2
5/4/2022,2,1,8,1,13,1
5/3/2022,2,1,19,8,2,8
5/2/2022,1,1,16,1,5,1
5/1/2022,37,1,13,10,11,1
4/30/2022,53,5,8,1,12,4
4/29/2022,1,34,12,13,11,1
4/28/2022,1,1,9,1,8,4
4/27/2022,1,1,15,1,8,7
4/26/2022,1,1,19,4,17,4
4/25/2022,1,1,20,4,1,1
4/24/2022,1,1,21,2,15,4
4/23/2022,1,1,14,2,3,3
4/22/2022,2,1,17,18,6,5
4/21/2022,6,1,14,4,23,7
4/20/2022,4,3,5,1,4,6
4/19/2022,3,2,16,1,15,7
4/18/2022,2,1,8,8,14,6
4/17/2022,1,1,3,8,9,8
4/16/2022,1,1,3,6,22,4
4/15/2022,1,1,6,1,9,6
4/14/2022,3,1,9,12,22,1
4/13/2022,2,1,20,8,21,7
4/12/2022,2,1,15,1,9,8
4/11/2022,3,1,8,1,12,1
4/10/2022,8,1,9,11,15,3
4/9/2022,12,4,25,1,16,1
4/8/2022,18,6,21,10,1,2
4/7/2022,13,9,22,14,1,2
4/6/2022,18,7,29,18,2,1
4/5/2022,12,9,25,11,17,6
4/4/2022,9,6,22,14,8,7
4/3/2022,6,5,29,10,8,7
4/2/2022,3,3,5,9,12,4
4/1/2022,2,1,10,4,6,2
3/31/2022,4,1,10,4,20,3
3/30/2022,9,2,22,6,4,1
3/29/2022,11,4,33,6,13,4
3/28/2022,4,5,4,14,10,5
3/27/2022,8,2,25,8,11,2
3/26/2022,11,4,30,6,11,9
3/25/2022,7,5,46,5,14,2
3/24/2022,5,4,2,6,25,7
3/23/2022,4,2,1,6,1,2
3/22/2022,8,2,6,5,11,1
3/21/2022,6,4,3,6,16,1
3/20/2022,4,2,32,3,12,3
3/19/2022,5,2,20,4,12,13
3/18/2022,5,2,13,6,5,1
3/17/2022,5,2,7,5,18,5
3/16/2022,8,2,6,6,6,5
3/15/2022,7,4,1,8,15,4
3/14/2022,3,3,22,7,1,8
3/13/2022,3,1,6,6,14,2
3/12/2022,6,1,20,6,22,4
3/11/2022,13,3,7,8,20,4
3/10/2022,8,7,20,8,16,1
3/9/2022,14,4,24,7,2,3
3/8/2022,21,7,34,9,26,3
3/7/2022,18,11,17,6,9,1
3/6/2022,30,9,1,7,13,1
3/5/2022,24,15,5,5,14,6
3/4/2022,32,12,17,5,14,2
3/3/2022,47,16,22,7,4,7
3/2/2022,45,24,14,10,1,6
